InstrID,CountryCode,Identifier,Name,Exchange,Sector,SPDRIndx,MktCapType,FS_AsOfDate,FS_BVPS,FS_EPS,FS_DivRate,FS_GrowthGrade,FS_GrowthGradeYOY,Ratio_PE,Ratio_Beta,Ratio_PEG,Ratio_PEGY,Ratio_Current,Ratio_Quick,Ratio_DebtToFCF,Ratio_ROIC,Eval_ValuePrice_M,Eval_IRT_M,Eval_GrahamNumber,MktPrice_Date,MktPrice_Close,MktPrice_Change,MktPrice_Volume,MktPrice_VolumeAvg,MktPrice_52Wk_Lo,MktPrice_52Wk_Hi,MA10,MA10_ChangePcnt,MA30,MA30_ChangePcnt,MA50,MA50_ChangePcnt,MA150,MA150_ChangePcnt,MA200,MA200_ChangePcnt,RSI,RSI_ChangePcnt,SlowStoch_K,SlowStoch_D,SlowStoch_ChangePcnt,MACD,MACD_ChangePcnt,Jan_07_MktPrice_Close,Jan_07_MktPrice_Volume,Jan_14_MktPrice_Close,Jan_14_MktPrice_Volume
5814,US,VASC,Vascular Solutions Inc.,NASDAQ,Healthcare,,Mid,9/30/2015,6.27,0.72,NULL,58.3291,50.2874,47.7639,0.7,5.8823,5.8823,6.019,4.3958,0,0.1215,51.0484,11.4449,10.0784,12/31/2015,34.39,-0.89,106200,87270,26.44,39.49,34.4,-0.0005,34.86,0.0016,34.02,-0.001,34.66,0.0003,33.95,0.0008,46.12,-0.3022,0.4277,0.349,-0.02907,0.0513,-0.4783,31.5,87400,29.85,87600
232446,US,VBTX,"Veritex Holdings, Inc.",NASDAQ,Financial,,Small,9/30/2015,7.14,0.79,NULL,50.8226,60.4412,20.519,NULL,0.2505,0.2505,NULL,NULL,NULL,0.06,52.0008,7.2814,11.2656,12/31/2015,16.21,0.12,16600,16910,13.63,17.2,16.21,0.0011,16.58,-0.0012,16.7,0,16.01,0.0009,15.55,0.0006,48.12,0.0877,0.4031,0.3844,0.1269,0.0186,10.9994,16.6,16100,15.52,18700
1798,US,VC,Visteon Corporation,NYSE,Consumer Goods,,Mid,9/30/2015,27.43,46.73,NULL,0,15.7724,2.4502,0.57,0.111,0.111,1.7107,1.191,-6.2321,-0.1231,1298.4765,1.9432,169.8252,12/31/2015,114.5,-1.7,446700,458817,96.56,118.66,115.03,-0.0018,117.6,-0.0004,115.3,0.0012,107,0.0003,105.97,0.0008,38.39,-0.2668,0.4389,0.3663,0.09975,0.0095,-0.8947,108.04,529300,103.17,1121900
1227,US,VCO,Vina Concha y Toro S.A.,NYSE,Consumer Goods,,Mid,12/31/2014,18.78,1.5,0.34,9.4679,32.406,20.3733,0.23,1.4002,1.301,2.2287,1.0045,-0.0464,0.0695,0.4874,18.4656,25.1759,12/31/2015,30.56,0.93,800,6863,28.75,42.64,29.97,0.0033,29.97,-0.0002,31.27,-0.0021,33.06,-0.0023,34.88,-0.0013,58.36,0.2186,0.4093,0.2962,0.38571,0.1285,1.8474,29.62,2900,30.6,1000
172,US,VDSI,VASCO Data Security International Inc.,NASDAQ,Technology,,Mid,9/30/2015,4.92,1.27,NULL,93.4252,49.2489,12.937,1.13,0.2284,0.2284,4.5628,2.2997,0,0.1762,36.6264,6.5576,11.857,12/31/2015,16.73,-0.41,522000,532100,16.55,34.09,17.15,-0.0025,17.92,-0.0071,18.45,-0.0009,21.14,-0.0031,22.05,-0.0016,37,-0.1719,0.6035,0.6162,-0.0623,0.0648,-0.4406,16.21,671000,15.91,406600
233812,US,VEC,"Vectrus, Inc.",NYSE,Conglomerates,,Small,9/30/2015,6.49,2.58,NULL,0,0,8.0969,NULL,0,0,1.1422,1.0951,2.5779,0.0878,4.1918,7.9181,19.4099,12/31/2015,20.89,-0.56,49600,64340,21.21,33.75,21.33,-0.0033,22.53,-0.003,23.28,-0.0029,23.92,-0.0012,24.45,-0.0012,31.27,-0.2608,0.4934,0.4427,-0.07012,0.0727,-0.3767,19.74,56200,20.04,60200
228423,US,VEEV,Veeva Systems Inc.,NYSE,Services,,Mid,10/31/2015,2.91,0.35,NULL,97.1667,75.9455,82.7429,NULL,2.0578,2.0578,3.703,1.673,NULL,0.1107,56.2963,12.3466,4.7871,12/31/2015,28.85,-0.1,432100,1037000,23.37,32.69,28.52,0.0021,27.86,0.0017,27.14,0.0023,26.51,0.0004,26.6,0.0003,64.86,-0.051,0.9294,0.917,0.01422,0.084,-0.3101,26.29,1510900,24.97,1438200
239465,US,VEOEY,Veolia Environnement S.A.,OTC Markets,,,Large,12/31/2014,17.56,0.79,0.79,0,13.2756,29.8608,0.74,-1,-1,1.1886,0.7865,7.5352,0.0124,14.2552,12.9901,17.6672,12/31/2015,23.59,-0.38,39700,49087,16.9,24.46,23.54,-0.0023,23.62,0,23.54,0.0002,22.43,0.0008,21.91,0.0011,49.25,-0.1743,0.7116,0.4965,0.03371,0.0356,-0.385,22.87,59800,23,82000
154,US,VFC,V.F. Corporation,NYSE,Consumer Goods,XLY,Large,10/31/2015,13.57,2.4,1.48,52.0951,45.3974,25.9375,0.95,1.571,1.3731,2.5835,1.4827,1.0111,0.1519,29.5791,13.1344,27.0699,12/31/2015,62.25,-0.41,1581600,2374810,61.95,77.61,62.37,-0.0021,63.59,0.0002,64.95,-0.0034,69.59,-0.0008,70.48,-0.0008,43.24,-0.1016,0.4968,0.3571,0.09074,0.1541,-0.1902,59.45,3154900,55.55,4968700
3268,US,VGR,Vector Group Ltd.,NYSE,Consumer Goods,,Mid,9/30/2015,-0.75,0.52,1.6,42.2297,25.625,45.3654,0.46,2.7214,1.9346,3.1761,1.4245,12.2551,0.242,3.6291,37.2827,NULL,12/31/2015,23.59,-0.34,476800,621553,21.17,25.71,23.63,0.0001,24.26,-0.0007,24.15,0,23.82,0.0004,23.41,0.0005,42.71,-0.1982,0.642,0.5353,0.03955,0.0711,-0.3224,22.97,930000,23.41,701500
